date,product,customer,quantity,price
2024-01-05,Plano Básico,Empresa Alpha,3,120
2024-01-06,Plano Premium,Empresa Beta,1,350
2024-01-07,Plano Básico,Empresa Gama,5,120
2024-01-10,Plano Enterprise,Empresa Alpha,1,800
2024-01-12,Plano Básico,Empresa Delta,2,120
2024-01-15,Plano Premium,Empresa Gama,2,350
2024-01-18,Plano Básico,Empresa Beta,4,120
2024-01-20,Plano Premium,Empresa Alpha,1,350
2024-01-22,Plano Enterprise,Empresa Ômega,1,800
2024-01-25,Plano Básico,Empresa Alpha,6,120
2024-02-02,Plano Básico,Empresa Gama,3,120
2024-02-04,Plano Premium,Empresa Delta,1,350
2024-02-06,Plano Básico,Empresa Beta,5,120
2024-02-08,Plano Enterprise,Empresa Alpha,1,800
2024-02-10,Plano Básico,Empresa Delta,2,120
2024-02-12,Plano Premium,Empresa Gama,2,350
2024-02-15,Plano Básico,Empresa Beta,4,120
2024-02-18,Plano Premium,Empresa Alpha,1,350
2024-02-20,Plano Enterprise,Empresa Ômega,1,800
2024-02-22,Plano Básico,Empresa Alpha,5,120
2024-03-03,Plano Básico,Empresa Gama,2,120
2024-03-05,Plano Premium,Empresa Beta,1,350
2024-03-07,Plano Básico,Empresa Delta,3,120
2024-03-09,Plano Enterprise,Empresa Alpha,1,800
2024-03-12,Plano Básico,Empresa Alpha,4,120
2024-03-15,Plano Premium,Empresa Gama,1,350
2024-03-18,Plano Básico,Empresa Beta,3,120
2024-03-20,Plano Premium,Empresa Delta,1,350
2024-03-22,Plano Enterprise,Empresa Ômega,1,800
2024-03-25,Plano Básico,Empresa Alpha,6,120
